,date,Data Value,time,T2M,RH2M,GWETPROF,PRECTOTCORR,GWETROOT,GWETTOP,EVPTRNS,rainfall_mm
0,2023-02-17,-44.817,00:00:00,20.87,39.1,0.38,0,0.38,0.32,0.11,0
1,2023-02-17,-45.015,06:00:00,20.87,39.1,0.38,0,0.38,0.32,0.11,0
2,2023-02-17,-44.993,12:00:00,20.87,39.1,0.38,0,0.38,0.32,0.11,0
3,2023-02-17,-45.092,18:00:00,20.87,39.1,0.38,0,0.38,0.32,0.11,0
4,2023-02-18,-44.963,00:00:00,21.67,34.35,0.38,0,0.38,0.31,0.1,0
5,2023-02-18,-45.028,06:00:00,21.67,34.35,0.38,0,0.38,0.31,0.1,0
6,2023-02-18,-45.163,12:00:00,21.67,34.35,0.38,0,0.38,0.31,0.1,0
7,2023-02-18,-45.176,18:00:00,21.67,34.35,0.38,0,0.38,0.31,0.1,0
8,2023-02-19,-44.937,00:00:00,22.72,25.66,0.37,0,0.38,0.31,0.1,0
9,2023-02-19,-45.087,06:00:00,22.72,25.66,0.37,0,0.38,0.31,0.1,0
10,2023-02-19,-45.024,12:00:00,22.72,25.66,0.37,0,0.38,0.31,0.1,0
11,2023-02-19,-45.169,18:00:00,22.72,25.66,0.37,0,0.38,0.31,0.1,0
12,2023-02-20,-44.928,00:00:00,21.53,32.88,0.37,0,0.37,0.3,0.08,0
13,2023-02-20,-45.092,06:00:00,21.53,32.88,0.37,0,0.37,0.3,0.08,0
14,2023-02-20,-45.123,12:00:00,21.53,32.88,0.37,0,0.37,0.3,0.08,0
15,2023-02-20,-45.187,18:00:00,21.53,32.88,0.37,0,0.37,0.3,0.08,0
16,2023-02-21,-45.011,00:00:00,20.51,36.65,0.37,0.17,0.37,0.3,0.08,0
17,2023-02-21,-45.127,06:00:00,20.51,36.65,0.37,0.17,0.37,0.3,0.08,0
18,2023-02-21,-45.065,12:00:00,20.51,36.65,0.37,0.17,0.37,0.3,0.08,0
19,2023-02-21,-45.195,18:00:00,20.51,36.65,0.37,0.17,0.37,0.3,0.08,0
20,2023-02-22,-44.973,00:00:00,18.76,33.28,0.37,0.01,0.37,0.3,0.05,0
21,2023-02-22,-45.104,06:00:00,18.76,33.28,0.37,0.01,0.37,0.3,0.05,0
22,2023-02-22,-45.108,12:00:00,18.76,33.28,0.37,0.01,0.37,0.3,0.05,0
23,2023-02-22,-45.188,18:00:00,18.76,33.28,0.37,0.01,0.37,0.3,0.05,0
24,2023-02-23,-44.931,00:00:00,18.89,33.07,0.37,0,0.37,0.29,0.07,0
25,2023-02-23,-45.083,06:00:00,18.89,33.07,0.37,0,0.37,0.29,0.07,0
26,2023-02-23,-44.996,12:00:00,18.89,33.07,0.37,0,0.37,0.29,0.07,0
27,2023-02-23,-45.317,18:00:00,18.89,33.07,0.37,0,0.37,0.29,0.07,0
28,2023-02-24,-44.945,00:00:00,20.22,31.92,0.37,0,0.37,0.29,0.07,0
29,2023-02-24,-45.08,06:00:00,20.22,31.92,0.37,0,0.37,0.29,0.07,0
30,2023-02-24,-45.091,12:00:00,20.22,31.92,0.37,0,0.37,0.29,0.07,0
31,2023-02-24,-45.172,18:00:00,20.22,31.92,0.37,0,0.37,0.29,0.07,0
32,2023-02-25,-44.917,00:00:00,22.15,28.38,0.37,0,0.37,0.29,0.06,0
33,2023-02-25,-45.043,06:00:00,22.15,28.38,0.37,0,0.37,0.29,0.06,0
34,2023-02-25,-44.979,12:00:00,22.15,28.38,0.37,0,0.37,0.29,0.06,0
35,2023-02-25,-45.202,18:00:00,22.15,28.38,0.37,0,0.37,0.29,0.06,0
36,2023-02-26,-44.875,00:00:00,21.96,33.44,0.37,0,0.37,0.29,0.05,0
37,2023-02-26,-45.002,06:00:00,21.96,33.44,0.37,0,0.37,0.29,0.05,0
38,2023-02-26,-44.998,12:00:00,21.96,33.44,0.37,0,0.37,0.29,0.05,0
39,2023-02-26,-45.185,18:00:00,21.96,33.44,0.37,0,0.37,0.29,0.05,0
40,2023-02-27,-44.992,00:00:00,22.25,37.21,0.36,0,0.36,0.28,0.07,0
41,2023-02-27,-44.978,06:00:00,22.25,37.21,0.36,0,0.36,0.28,0.07,0
42,2023-02-27,-44.975,12:00:00,22.25,37.21,0.36,0,0.36,0.28,0.07,0
43,2023-02-27,-45.18,18:00:00,22.25,37.21,0.36,0,0.36,0.28,0.07,0
44,2023-02-28,-44.861,00:00:00,20.72,43.16,0.36,0.02,0.36,0.28,0.03,0
45,2023-02-28,-45.07,06:00:00,20.72,43.16,0.36,0.02,0.36,0.28,0.03,0
46,2023-02-28,-44.858,12:00:00,20.72,43.16,0.36,0.02,0.36,0.28,0.03,0
47,2023-02-28,-45.2,18:00:00,20.72,43.16,0.36,0.02,0.36,0.28,0.03,0
48,2023-03-01,-44.833,00:00:00,20.52,49.13,0.36,1.42,0.36,0.3,0.04,1.51864230632782
49,2023-03-01,-44.99,06:00:00,20.52,49.13,0.36,1.42,0.36,0.3,0.04,1.51864230632782
50,2023-03-01,-44.97,12:00:00,20.52,49.13,0.36,1.42,0.36,0.3,0.04,1.51864230632782
51,2023-03-01,-45.078,18:00:00,20.52,49.13,0.36,1.42,0.36,0.3,0.04,1.51864230632782
52,2023-03-02,-44.774,00:00:00,21.11,52.34,0.36,0,0.36,0.29,0.03,0
53,2023-03-02,-44.977,06:00:00,21.11,52.34,0.36,0,0.36,0.29,0.03,0
54,2023-03-02,-45.132,12:00:00,21.11,52.34,0.36,0,0.36,0.29,0.03,0
55,2023-03-02,-45.08,18:00:00,21.11,52.34,0.36,0,0.36,0.29,0.03,0
56,2023-03-03,-44.782,00:00:00,21.78,50.89,0.36,0,0.36,0.29,0.03,0
57,2023-03-03,-44.973,06:00:00,21.78,50.89,0.36,0,0.36,0.29,0.03,0
58,2023-03-03,-44.956,12:00:00,21.78,50.89,0.36,0,0.36,0.29,0.03,0
59,2023-03-03,-45.088,18:00:00,21.78,50.89,0.36,0,0.36,0.29,0.03,0
60,2023-03-04,-44.768,00:00:00,20.38,43.59,0.36,0,0.36,0.28,0.02,0
61,2023-03-04,-44.973,06:00:00,20.38,43.59,0.36,0,0.36,0.28,0.02,0
62,2023-03-04,-44.807,12:00:00,20.38,43.59,0.36,0,0.36,0.28,0.02,0
63,2023-03-04,-45.354,18:00:00,20.38,43.59,0.36,0,0.36,0.28,0.02,0
64,2023-03-05,-44.998,00:00:00,21.82,39.61,0.36,0,0.36,0.28,0.03,0
65,2023-03-05,-44.961,06:00:00,21.82,39.61,0.36,0,0.36,0.28,0.03,0
66,2023-03-05,-45.164,12:00:00,21.82,39.61,0.36,0,0.36,0.28,0.03,0
67,2023-03-05,-45.172,18:00:00,21.82,39.61,0.36,0,0.36,0.28,0.03,0
68,2023-03-06,-44.936,00:00:00,22.49,37.46,0.36,0,0.36,0.27,0.02,0
69,2023-03-06,-45.146,06:00:00,22.49,37.46,0.36,0,0.36,0.27,0.02,0
70,2023-03-06,-45.092,12:00:00,22.49,37.46,0.36,0,0.36,0.27,0.02,0
71,2023-03-06,-45.252,18:00:00,22.49,37.46,0.36,0,0.36,0.27,0.02,0
72,2023-03-07,-45.027,00:00:00,23.48,32.92,0.36,0,0.36,0.27,0.02,0
73,2023-03-07,-45.187,06:00:00,23.48,32.92,0.36,0,0.36,0.27,0.02,0
74,2023-03-07,-45.318,12:00:00,23.48,32.92,0.36,0,0.36,0.27,0.02,0
75,2023-03-07,-45.284,18:00:00,23.48,32.92,0.36,0,0.36,0.27,0.02,0
76,2023-03-08,-45.057,00:00:00,23.73,33.73,0.36,0.03,0.36,0.26,0.02,0
77,2023-03-08,-45.213,06:00:00,23.73,33.73,0.36,0.03,0.36,0.26,0.02,0
78,2023-03-08,-45.233,12:00:00,23.73,33.73,0.36,0.03,0.36,0.26,0.02,0
79,2023-03-08,-45.338,18:00:00,23.73,33.73,0.36,0.03,0.36,0.26,0.02,0
80,2023-03-09,-45.083,00:00:00,23.22,34.16,0.36,0.14,0.36,0.26,0.01,0
81,2023-03-09,-45.213,06:00:00,23.22,34.16,0.36,0.14,0.36,0.26,0.01,0
82,2023-03-09,-45.352,12:00:00,23.22,34.16,0.36,0.14,0.36,0.26,0.01,0
83,2023-03-09,-45.289,18:00:00,23.22,34.16,0.36,0.14,0.36,0.26,0.01,0
84,2023-03-10,-45.053,00:00:00,23.79,27.57,0.36,0,0.35,0.25,0.01,0
85,2023-03-10,-45.208,06:00:00,23.79,27.57,0.36,0,0.35,0.25,0.01,0
86,2023-03-10,-45.202,12:00:00,23.79,27.57,0.36,0,0.35,0.25,0.01,0
87,2023-03-10,-45.289,18:00:00,23.79,27.57,0.36,0,0.35,0.25,0.01,0
88,2023-03-11,-45.104,00:00:00,24,27.58,0.36,0,0.35,0.24,0.01,0
89,2023-03-11,-45.235,06:00:00,24,27.58,0.36,0,0.35,0.24,0.01,0
90,2023-03-11,-45.087,12:00:00,24,27.58,0.36,0,0.35,0.24,0.01,0
91,2023-03-11,-45.294,18:00:00,24,27.58,0.36,0,0.35,0.24,0.01,0
92,2023-03-12,-45.107,00:00:00,24.72,31.89,0.35,0.01,0.35,0.23,0.01,0
93,2023-03-12,-45.248,06:00:00,24.72,31.89,0.35,0.01,0.35,0.23,0.01,0
94,2023-03-12,-45.154,12:00:00,24.72,31.89,0.35,0.01,0.35,0.23,0.01,0
95,2023-03-12,-45.274,18:00:00,24.72,31.89,0.35,0.01,0.35,0.23,0.01,0
96,2023-03-13,-45.091,00:00:00,25.42,36.21,0.35,0,0.35,0.23,0,0
97,2023-03-13,-45.232,06:00:00,25.42,36.21,0.35,0,0.35,0.23,0,0
98,2023-03-13,-45.319,12:00:00,25.42,36.21,0.35,0,0.35,0.23,0,0
